ProjectID;ProjectComitteeE;ProjectTitle;Agency;FiscalYear;CompetitionYear;ProgramID;Program;ProgramType;ProgramF;ProgramTypeF;PrincipalInvestigator;InterUnivColl;NofOrganization;OrganizationID;Affiliation;Organization;OrganizationGroup;OrganizationGroupF;Province;FProvince;Payment;InterUnivCollF;NofCollaborators;ID_Projet;Code_Comite;Code_Agence;Comite;FComite
CIHR78345;Cancer Biology & Therapeutics;To uncover, understand and exploit the estrogen-oncolytic virus crosstalk to improve therapy;CIHR;2021-2022;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Bourgeois-Daigneault, Marie-Claude;Without Collaborator;0;10577;Université de Montréal;Centre hospitalier de l`Université de Montréal;Universities;Universités;Quebec;Québec;153765;Without Collaborator;0;CIHR11362;NIA;CIHR;New Investigators A;Bourses destinées à un professionnel de la santé - Nouveaux chercheurs
CIHR77497;Cancer Biology & Therapeutics 2;4D spheroids identify type I protein arginine methyltransferases as a target in NSCLC;CIHR;2020-2021;2020;1842;Project Grant - PA: Epigenetics/epigenomics in human health or disease;Grant Awards;Subvention Projet - AP : Épigénétique/épigénomique - maladie/santé humaines;Subventions;Raynal, Noël J;Internal collaboration;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;100000;Internal collaboration;2;CIHR1304;CSA;CIHR;Cardiovascular System - A: Cells and Tissues;Programme de démonstration des principes
CIHR80052;Cancer Biology & Therapeutics 2;Exploiting induction of mitochondrial apoptosis as a therapeutic vulnerability in high fatality pediatric leukemia;CIHR;2021-2022;2021;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;CELLOT, Sonia;Internal collaboration;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;244068;Internal collaboration;1;CIHR12008;***;CIHR;Special Cases;Cas speciaux - programmes de bourses
CIHR77496;Cancer Biology & Therapeutics 2;Investigating the metabolic determinants of triple-negative breast cancer progression through chromatin dependencies;CIHR;2020-2021;2020;1842;Project Grant - PA: Epigenetics/epigenomics in human health or disease;Grant Awards;Subvention Projet - AP : Épigénétique/épigénomique - maladie/santé humaines;Subventions;Deblois, Genevieve;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;100000;Without Collaborator;0;CIHR11418;HSB;CIHR;Health Research Salary B;Cas spéciaux
CIHR75625;Cancer Biology & Therapeutics 2;Investigation of the antineoplastic effect of miRNA-181a and development a novel pharmaceutical approaches for treating advanced retinoblastoma;CIHR;2021-2022;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;HARDY, Pierre;Internal collaboration;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;128520;Internal collaboration;3;CIHR13975;HTA;CIHR;Health Research Training A - Post-PhD (HTA);Comprendre et examiner les répercussions des milieux physique et social sur la santé
CIHR77275;Cancer Biology & Therapeutics 2;Probing molecular mechanisms of epithelial ovarian cancer therapy-induced senescence to find biomarkers and drug targets;CIHR;2021-2022;2020;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;RODIER, Francis;Internal collaboration;0;10577;Université de Montréal;Centre hospitalier de l`Université de Montréal;Universities;Universités;Quebec;Québec;204255;Internal collaboration;2;CIHR12258;***;CIHR;Cas spéciaux;Cas spéciaux
CIHR73793;Cancer Progression & Therapeutics;Adoptive transfers of in vitro differentiated plasmacytoid dendritic cells to prevent acute lymphoblastic leukemia relapse: mechanisms and biomarkers of sensitivity;CIHR;2022-2023;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;DUVAL, Michel;Without Collaborator;0;2225;Université de Montréal;Hôpital Sainte-Justine;Universities;Universités;Quebec;Québec;224400;Without Collaborator;0;CIHR11185;DRA;CIHR;Doctoral Research Awards - A;Système cardiovasculaire - B: Coeur et Circulation
CIHR79690;Cancer Progression & Therapeutics;Investigating the metabolic determinants of triple-negative breast cancer progression through chromatin dependencies;CIHR;2021-2022;2021;1842;Project Grant - PA: Epigenetics/epigenomics in human health or disease;Grant Awards;Subvention Projet - AP : Épigénétique/épigénomique - maladie/santé humaines;Subventions;Deblois, Genevieve;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;123930;Without Collaborator;0;CIHR11312;***;CIHR;Special Cases;Métabolisme
CIHR81419;Cancer Progression & Therapeutics;Investigating the metabolic determinants of triple-negative breast cancer progression through chromatin dependencies;CIHR;2022-2023;2021;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Deblois, Genevieve;Without Collaborator;0;63;Université de Montréal;Université de Montréal;Universities;Universités;Quebec;Québec;123930;Without Collaborator;0;CIHR11000;PSD;CIHR;Psychosocial, Sociocultural and Behavioural Determinants of Health - B;Excellence, innovation et progrès dans l'étude de l'obésité et du poids corporel sain
CIHR73704;Cancer Progression & Therapeutics;Prebiotics to modify the gut microbiome and enhance immune checkpoint blockers;CIHR;2022-2023;2019;1855;Project Grant;Grant Awards;Subvention Projet;Subventions;Routy, Bertrand;Internal collaboration;0;10577;Université de Montréal;Centre hospitalier de l`Université de Montréal;Universities;Universités;Quebec;Québec;139549;Internal collaboration;1;CIHR1159;IT;CIHR;Immunology & Transplantation;Sciences du comportement - B
