division,group,class,subclass,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,"RDF1020701 Library science (librarianship)",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,"RDF1020702 Human information behaviour (including human information retrieval)",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,RDF1020703 Web search,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,"RDF1020704 Scientometrics, bibliometrics, webometrics and other quantitative aspects of information (Informetrics)",
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,RDF1020705 Organization of information and knowledge resources,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,"RDF1020706 Records and information management (except business records and information management)",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,"RDF1020707 Archival, repository and related studies",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,RDF1020708 Information literacy,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10207 Library science and information studies,"RDF1020799 Information studies, n.e.c.",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,RDF1020801 Algorithms and computational genomics,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,RDF1020802 Computational biomodelling,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,RDF1020803 Computational neurosciences,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,RDF1020804 DNA computing,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,RDF1020805 Molecular and atomic computing,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,RDF1020806 Evolutionary computation,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,RDF1020807 Genetic algorithms,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,RDF1020808 Genetic programming,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10208 Bioinformatics,"RDF1020899 Bioinformatics, n.e.c.",,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10299 Other computer and information sciences,,,,
RDF10 Natural sciences,RDF102 Computer and information sciences,RDF10299 Other computer and information sciences,RDF1029999 Other computer and information sciences,,,
RDF10 Natural sciences,RDF103 Physical sciences,,,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030101 Astrobiology,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030102 Celestial mechanics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,"RDF1030103 Astronomical and space instrumentation (including atmospheric observation)",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030104 Cosmology and extragalactic astronomy,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030105 Galactic astronomy,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030106 General relativity and gravitational waves in astronomical and space sciences,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,"RDF1030107 Mesospheric, ionospheric and magnetospheric physics",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,"RDF1030108 Planetary science (except planetary geology)",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030109 Space and solar physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030110 Stellar astronomy and planetary systems,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030111 Astrochemistry,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030112 Dark energy,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,RDF1030113 Theoretical and computational astrophysics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10301 Astronomical and space sciences,"RDF1030199 Astronomical and space sciences, n.e.c.",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,"RDF1030201 Nuclear physics, experimental",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,"RDF1030202 Particle physics, experimental",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,RDF1030203 Astroparticle physics,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,RDF1030204 Subatomic physics instrumentation,,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,"RDF1030205 Accelerator for nuclear and particle physics (including synchrotons)",,,
RDF10 Natural sciences,RDF103 Physical sciences,RDF10302 Subatomic physics,RDF1030206 Nuclear physics theory,,,
